,,FFT Amp,
Mouse #,Genotype,7 hr,20-30 hr
1,Vgat +/+,0.1395,0.1098
2,Vgat +/+,0.0565,0.0479
3,Vgat +/+,0.0983,0.0999
4,Vgat +/+,0.1266,0.0889
5,Vgat +/+,0.0772,0.0313
6,Vgat +/+,0.0754,0.0486
7,Vgat +/+,0.0067,0.0058
8,Vgat +/+,0.1512,0.1288
9,Vgat +/+,0.2691,0.0688
10,Vgat +/+,0.046,0.0123
11,Vgat +/+,0.1703,0.1512
12,Vgat +/+,0.1423,0.1011
13,Vgat +/+,0.0915,0.1086
14,Vgat +/+,0.22,0.1075
15,Vgat +/+,0.0706,0.051
1,Nms-Vgat+/-,0.1354,0.0656
2,Nms-Vgat+/-,0.167,0.0837
3,Nms-Vgat+/-,0.0813,0.1007
4,Nms-Vgat+/-,0.1153,0.1178
5,Nms-Vgat+/-,0.1298,0.0887
6,Nms-Vgat+/-,0.1488,0.1023
7,Nms-Vgat+/-,0.1454,0.1296
8,Nms-Vgat+/-,0.1687,0.0819
9,Nms-Vgat+/-,0.14,0.0509
10,Nms-Vgat+/-,0.189,0.07
1,Nms-Vgat-/-,0.0105,0.0013
2,Nms-Vgat-/-,0.1494,0.0359
3,Nms-Vgat-/-,0.0256,0.0051
4,Nms-Vgat-/-,0.0569,0.005
5,Nms-Vgat-/-,0.1172,0.0508
6,Nms-Vgat-/-,0.1658,0.0099
7,Nms-Vgat-/-,0.023,0.0012
8,Nms-Vgat-/-,0.1796,0.0202
9,Nms-Vgat-/-,0.0757,0.0013
10,Nms-Vgat-/-,0.1753,0.0007
11,Nms-Vgat-/-,0.0539,0.0001
12,Nms-Vgat-/-,0.0285,0.0017
13,Nms-Vgat-/-,0.2598,0.0038
14,Nms-Vgat-/-,0.2081,0.0017
15,Nms-Vgat-/-,0.1171,0.02
16,Nms-Vgat-/-,0.1878,0.001
17,Nms-Vgat-/-,0.0891,0.0066
18,Nms-Vgat-/-,0.0864,0.0109
19,Nms-Vgat-/-,0.1569,0.0066
20,Nms-Vgat-/-,0.2455,0.0049
21,Nms-Vgat-/-,0.2409,0.0059
22,Nms-Vgat-/-,0.0302,0.0016
23,Nms-Vgat-/-,0.3001,0.0075
24,Nms-Vgat-/-,0.1969,0.0677
