Genotype,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat-/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Nms-Vgat+/-,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+,Vgat +/+
Time (h),1067,1068,1105,1106,1168,1169,1311,1314,1316,1325,1326,1327,1328,1338,1339,1340,1342,1351,1371,1531,1533,1633,1639,1645,1349,1350,1353,1355,1372,1374,1378,1583,1586,1637,1065,1104,1107,1167,1313,1337,1352,1376,1525,1532,1534,1552,1582,1638,1644
0,1.02205882,3.79189422,3.25525526,6.17308654,2.38188188,4.38605967,2.25,2.52571881,1.18268525,4.01841656,2.24313072,3.45546787,4.44610253,5.62974123,2.99118018,4.97081768,3.09963548,7.14170603,6.38783499,6.63829787,3.14746667,7.28707065,7.19957983,6.80074299,6.36666667,8.31744826,3.69298597,1.23432519,6.44547478,8.85600559,0.33578609,8.12266168,5.40829346,9.71943962,2.17822428,4.81328845,5.62832626,1.0204654,1.40238285,0.85634741,3.27702717,3.6544186,10.4071006,4.34673434,7.79140458,9.97003766,4.44518152,8.93554477,4.70852296
1,1.61029412,3.46910032,0.97597598,3.43621811,1.63413413,3.0154321,2.89311594,2.86415194,2.92956713,4.1864439,3.7785179,0.14731304,4.77598315,6.61219426,6.9050819,3.36434556,7.10024301,6.64017783,7.80728696,5.87454145,3.89845068,6.04216699,8.16421569,8.10418777,7.41048951,8.42377065,2.90541082,0.37167906,5.21402077,7.8822004,1.60951753,8.58711919,6.2699362,8.00986095,2.34653664,5.03164129,5.23983008,2.37089825,1.07227964,0.83844099,2.27026754,4.76627907,9.5087057,0.88054978,5.36231624,9.34007969,4.27380158,6.91260558,2.44925656
2,1.18137255,2.8663409,1.05105105,1.31615808,0.71721722,2.50488683,2.35144928,2.41229227,0.68818782,3.30244921,1.59367194,2.77940624,6.14360955,0.87681673,1.78412432,1.46980641,4.71749696,6.97749375,4.96175851,4.27292737,5.62109674,1.66685283,8.98844538,7.41388045,7.35664336,8.43440289,1.41703407,1.20297556,5.58345697,2.83999311,2.61344183,6.48423303,5.99043062,3.99606754,1.08911123,2.67404997,4.38975171,1.79898998,0.74827016,0.72622441,0.89189261,3.34302326,6.00196099,1.70555535,3.33307301,7.9461494,2.352569,3.59432141,1.78619731
3,0.72794118,1.96320782,0.74774775,0.17658829,0.56756757,1.56558642,0.87862319,2.30361382,1.45194424,1.52306816,1.96086595,0.94062383,4.34585674,3.43530663,0.83557329,2.16584802,4.09507898,5.23562101,6.37579042,4.00880411,6.30018102,1.21977101,6.91946779,6.72154677,5.43916084,7.48927283,0.68016032,0.98565356,2.52114243,2.25389658,1.29997521,5.6504543,2.11323764,7.05921783,3.75247803,0.69303857,1.94700985,1.18615093,0,0.48865923,0,2.78325581,1.67068493,0.93493017,1.33799152,6.78096664,1.83179343,3.6791702,1.9239525
4,1.20098039,0.37970681,1.78678679,0.06553277,1.15315315,4.08179012,1.16123188,2.94803482,0.61995598,4.980824,1.89508743,0.49192033,2.67152388,3.01488834,2.85552289,3.50736781,0.5127582,4.61517088,7.60222824,3.8081438,7.58383448,4.57023178,4.41911765,8.50911854,5.94079254,7.22118853,0.07294589,0.32040383,2.14836795,4.40497239,0.77287276,4.31908071,1.39772727,5.0959655,1.42574477,0.68591778,0.79482616,2.35379661,1.39324239,1.14126667,0.27702702,2.31604651,0.01693383,0.66651261,0.22360244,6.88380529,1.01442609,2.60852149,0.00649527
5,0.35294118,1.85858005,0.72672673,3.22861431,0.14464464,1.13554527,0.44746377,1.50751781,2.34922964,1.47883045,1.52039967,0.17173995,1.31636236,3.70400567,0.90466191,1.56862179,1.22296476,2.01528202,5.73833183,2.040719,8.29545903,2.29656521,5.22934174,6.85359676,5.81445221,4.34782609,0.00320641,0.46360255,2.82232938,0.31934282,0.86092809,0.96098343,0.42882775,2.58008297,0.68316939,1.6803794,0.17654443,1.69217818,1.81168655,0.30799867,0.39189185,0.38837209,3.53502708,1.68696246,0.40838501,6.56072721,0.33352566,0.20320469,0
6,0.75735294,0.26415637,2.33033033,1.68884442,0,0.52083333,1.22282609,1.66631496,1.7674248,3.11505601,0.50374688,0.51108606,1.59304775,1.86370082,0.71188576,1.28344409,1.89550425,0.36482356,2.20566095,2.15077036,4.22907291,1.05808433,4.09471289,3.62681527,4.06713287,1.5528764,0.0012024,0.18065887,2.54302671,0.22885329,1.08658102,0.05424906,0.05382775,1.04418807,1.44554526,1.33860708,0.00075339,0.76619014,1.49543158,0.24074842,0.65540556,0.11860465,2.65176535,0.44271553,1.43581732,3.73076724,0.05510682,0.96067071,0.06738838
7,0.02205882,0,0,0.00650325,0.001001,0,0.02173913,0.00079135,0.1056493,0.00094931,0,0,0,0,0.00125997,0,0,0,0.00903342,0,0.16636049,0.0005585,0.11992297,0.14826072,0.0011655,0.16593886,0,0.00717322,0,0,0,0.00187066,0,0.73823054,0.18811895,0,0,0,0.01080033,0.17389588,0,0,0.15150407,0.41854623,0.09265011,0.99595179,0,0,0.72097464
8,1.10784314,0.56855418,2.72072072,2.37368684,0.3018018,2.48765432,2.87681159,4.6185703,6.99192957,5.74064933,5.19233972,2.93724164,1.18117978,3.66430344,2.52834943,7.30222479,0.13001215,0.00027785,1.51701295,1.25091709,7.950931,4.72745043,5.24544818,1.18828099,0.81608392,0.10157585,0.01122244,0.01487779,0.00111276,0.00018134,0.42163333,0.00160342,0.00358852,1.53008558,0.27722817,0,0.00954295,0.00504625,0.70036084,1.76960051,0.07432432,0,3.10753778,2.14176185,0.1700309,0.28016188,0.05452979,0.20247643,3.87496794
