Mouse #,Genotype,% act SP-daytime,,
,Vgat +/+,9.88,,
,Vgat +/+,0.43,,
,Vgat +/+,6.66,,
,Vgat +/+,7.96,,
,Vgat +/+,4.03,,
,Vgat +/+,36.77,,
,Vgat +/+,16.31,,
,Vgat +/+,14.34,,
,Vgat +/+,6.14,,
,Vgat +/+,21.55,,
,Vgat +/+,2.85,,
,Vgat +/+,4.91,,
,Vgat +/+,24.79,,
,Vgat +/+,2.89,,
,Vgat +/+,2.65,,
,Vgat +/+,13.9,,
,Nms-Vgat+/-,6.81,,
,Nms-Vgat+/-,2.71,,
,Nms-Vgat+/-,0.09,,
,Nms-Vgat+/-,0.12,,
,Nms-Vgat+/-,2.82,,
,Nms-Vgat+/-,1.09,,
,Nms-Vgat+/-,10.85,,
,Nms-Vgat+/-,3.17,,
,Nms-Vgat+/-,11.28,,
,Nms-Vgat+/-,3.2,,
,Nms-Vgat-/-,42.06,,
,Nms-Vgat-/-,27.21,,
,Nms-Vgat-/-,27.97,,
,Nms-Vgat-/-,53.64,,
,Nms-Vgat-/-,42.2,,
,Nms-Vgat-/-,44.81,,
,Nms-Vgat-/-,47.76,,
,Nms-Vgat-/-,47.06,,
,Nms-Vgat-/-,55.68,,
,Nms-Vgat-/-,47.83,,
,Nms-Vgat-/-,49.91,,
,Nms-Vgat-/-,48.31,,
,Nms-Vgat-/-,13.11,,
,Nms-Vgat-/-,37.27,,
,Nms-Vgat-/-,34.52,,
,Nms-Vgat-/-,48.92,,
,Nms-Vgat-/-,31.51,,
,Nms-Vgat-/-,22.05,,
,Nms-Vgat-/-,16.24,,
,Nms-Vgat-/-,41.03,,
,Nms-Vgat-/-,50.53,,
,Nms-Vgat-/-,56.15,,
,Nms-Vgat-/-,34.75,,
,Nms-Vgat-/-,10.84,,
