,,NREM intensity,,,,,,,,,,,,,,,,,,,,,,,,
Mouse #,Genotype,Baseline,Rebound,,,,,,,,,,,,,,,,,,,,,,,
1,Vgat+/+,1793.666,2748.363,,,,,,,,,,,,,,,,,,,,,,,
2,Vgat+/+,1342.833,1504.122,,,,,,,,,,,,,,,,,,,,,,,
3,Vgat+/+,766.6537,1252.9,,,,,,,,,,,,,,,,,,,,,,,
4,Vgat+/+,619.2789,759.2554,,,,,,,,,,,,,,,,,,,,,,,
5,Vgat+/+,1462.568,1966.035,,,,,,,,,,,,,,,,,,,,,,,
6,Vgat+/+,359.0499,244.5676,,,,,,,,,,,,,,,,,,,,,,,
7,Vgat+/+,607.0693,753.6921,,,,,,,,,,,,,,,,,,,,,,,
1,Nms-Vgat+/-,907.0199,997.0044,,,,,,,,,,,,,,,,,,,,,,,
2,Nms-Vgat+/-,411.3249,1411.902,,,,,,,,,,,,,,,,,,,,,,,
3,Nms-Vgat+/-,1862.637,2168.968,,,,,,,,,,,,,,,,,,,,,,,
4,Nms-Vgat+/-,1660.971,1894.669,,,,,,,,,,,,,,,,,,,,,,,
5,Nms-Vgat+/-,954.7396,1104.178,,,,,,,,,,,,,,,,,,,,,,,
6,Nms-Vgat+/-,2598.636,3058.758,,,,,,,,,,,,,,,,,,,,,,,
1,Nms-vgat-/-,713.3308,2481.356,,,,,,,,,,,,,,,,,,,,,,,
2,Nms-vgat-/-,1129.831,1207.087,,,,,,,,,,,,,,,,,,,,,,,
3,Nms-vgat-/-,897.7323,984.5328,,,,,,,,,,,,,,,,,,,,,,,
4,Nms-vgat-/-,1349.903,2349.214,,,,,,,,,,,,,,,,,,,,,,,
5,Nms-vgat-/-,1382.153,1959.847,,,,,,,,,,,,,,,,,,,,,,,
6,Nms-vgat-/-,939.564,1045.296,,,,,,,,,,,,,,,,,,,,,,,
7,Nms-vgat-/-,1545.036,1899.235,,,,,,,,,,,,,,,,,,,,,,,
8,Nms-vgat-/-,1321.538,1887.374,,,,,,,,,,,,,,,,,,,,,,,
