Mouse #,Genotype,AVP cells #,,
1,Vgat +/+,151.5,,
2,Vgat +/+,61.25,,
3,Vgat +/+,34.25,,
4,Vgat +/+,88.75,,
5,Vgat +/+,125,,
6,Vgat +/+,113.5,,
7,Vgat +/+,81,,
8,Vgat +/+,49.5,,
9,Vgat +/+,50.5,,
10,Vgat +/+,95.75,,
1,Nms-Vgat+/-,67.75,,
2,Nms-Vgat+/-,149.5,,
3,Nms-Vgat+/-,56.75,,
4,Nms-Vgat+/-,146.5,,
5,Nms-Vgat+/-,106.25,,
6,Nms-Vgat+/-,94.5,,
7,Nms-Vgat+/-,108,,
8,Nms-Vgat+/-,138.25,,
9,Nms-Vgat+/-,58.5,,
1,Nms-Vgat-/-,85.5,,
2,Nms-Vgat-/-,71,,
3,Nms-Vgat-/-,88.5,,
4,Nms-Vgat-/-,82.5,,
5,Nms-Vgat-/-,35.25,,
6,Nms-Vgat-/-,126.75,,
7,Nms-Vgat-/-,104,,
8,Nms-Vgat-/-,126.25,,
9,Nms-Vgat-/-,145.75,,
10,Nms-Vgat-/-,41.5,,
11,Nms-Vgat-/-,176.25,,
