Mouse #,Genotype,Cherry Int,,,,,
1,Nms-Vgat+/-,3.94892055,,,,,
2,Nms-Vgat+/-,5.03501144,,,,,
3,Nms-Vgat+/-,5.30342327,,,,,
4,Nms-Vgat+/-,1.67231301,,,,,
5,Nms-Vgat+/-,3.6294788,,,,,
1,Nms-Vgat-/-,5.500081255,,,,,
2,Nms-Vgat-/-,2.196826125,,,,,
3,Nms-Vgat-/-,1.852665359,,,,,
4,Nms-Vgat-/-,5.094599487,,,,,
5,Nms-Vgat-/-,2.334317843,,,,,
6,Nms-Vgat-/-,1.672553431,,,,,
7,Nms-Vgat-/-,6.201094247,,,,,
8,Nms-Vgat-/-,2.160981718,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
