Mouse #,Genotype,VIP intensity,,,,,
1,Vgat +/+,2.5,,,,,
2,Vgat +/+,2.12,,,,,
3,Vgat +/+,2.95,,,,,
4,Vgat +/+,2.28,,,,,
5,Vgat +/+,2.08,,,,,
6,Vgat +/+,3.27,,,,,
7,Vgat +/+,2.5,,,,,
8,Vgat +/+,2.56,,,,,
9,Vgat +/+,2.85,,,,,
10,Vgat +/+,2.07,,,,,
11,Vgat +/+,2.38,,,,,
1,Nms-Vgat+/-,2.06,,,,,
2,Nms-Vgat+/-,2.05,,,,,
3,Nms-Vgat+/-,2.45,,,,,
4,Nms-Vgat+/-,2.32,,,,,
5,Nms-Vgat+/-,1.63,,,,,
6,Nms-Vgat+/-,2.29,,,,,
7,Nms-Vgat+/-,2.01,,,,,
8,Nms-Vgat+/-,2.67,,,,,
1,Nms-Vgat-/-,1.46,,,,,
2,Nms-Vgat-/-,2.09,,,,,
3,Nms-Vgat-/-,2.1,,,,,
4,Nms-Vgat-/-,1.75,,,,,
5,Nms-Vgat-/-,1.58,,,,,
6,Nms-Vgat-/-,1.84,,,,,
7,Nms-Vgat-/-,1.72,,,,,
8,Nms-Vgat-/-,1.72,,,,,
9,Nms-Vgat-/-,1.6,,,,,
10,Nms-Vgat-/-,2.02,,,,,
11,Nms-Vgat-/-,1.66,,,,,
