Mouse #,Genotype,VIP intensity,,,,,,,,,
1,Vgat +/+,2.64,,,,,,,,,
2,Vgat +/+,2.73,,,,,,,,,
3,Vgat +/+,3.32,,,,,,,,,
4,Vgat +/+,2.24,,,,,,,,,
5,Vgat +/+,2.69,,,,,,,,,
6,Vgat +/+,4.48,,,,,,,,,
7,Vgat +/+,3.46,,,,,,,,,
8,Vgat +/+,2.59,,,,,,,,,
9,Vgat +/+,3.59,,,,,,,,,
10,Vgat +/+,2.32,,,,,,,,,
11,Vgat +/+,2.57,,,,,,,,,
1,Nms-Vgat+/-,2.39,,,,,,,,,
2,Nms-Vgat+/-,2.28,,,,,,,,,
3,Nms-Vgat+/-,3.72,,,,,,,,,
4,Nms-Vgat+/-,3.33,,,,,,,,,
5,Nms-Vgat+/-,2.98,,,,,,,,,
6,Nms-Vgat+/-,3.43,,,,,,,,,
7,Nms-Vgat+/-,2.33,,,,,,,,,
8,Nms-Vgat+/-,3.29,,,,,,,,,
1,Nms-Vgat-/-,2.09,,,,,,,,,
2,Nms-Vgat-/-,4.36,,,,,,,,,
3,Nms-Vgat-/-,3.8,,,,,,,,,
4,Nms-Vgat-/-,2.71,,,,,,,,,
5,Nms-Vgat-/-,1.69,,,,,,,,,
6,Nms-Vgat-/-,3.48,,,,,,,,,
7,Nms-Vgat-/-,2.19,,,,,,,,,
8,Nms-Vgat-/-,2.18,,,,,,,,,
9,Nms-Vgat-/-,1.99,,,,,,,,,
10,Nms-Vgat-/-,2.78,,,,,,,,,
11,Nms-Vgat-/-,2.19,,,,,,,,,
