Mouse #,Genotype,VIP cells #,,,,,,,,,
1,Vgat +/+,53.5,,,,,,,,,
2,Vgat +/+,40.75,,,,,,,,,
3,Vgat +/+,42.5,,,,,,,,,
4,Vgat +/+,96,,,,,,,,,
5,Vgat +/+,37,,,,,,,,,
6,Vgat +/+,46.75,,,,,,,,,
7,Vgat +/+,42.25,,,,,,,,,
8,Vgat +/+,86.25,,,,,,,,,
9,Vgat +/+,61.5,,,,,,,,,
10,Vgat +/+,63,,,,,,,,,
1,Nms-Vgat+/-,92.25,,,,,,,,,
2,Nms-Vgat+/-,35,,,,,,,,,
3,Nms-Vgat+/-,88.5,,,,,,,,,
4,Nms-Vgat+/-,56.75,,,,,,,,,
5,Nms-Vgat+/-,105,,,,,,,,,
6,Nms-Vgat+/-,88.5,,,,,,,,,
7,Nms-Vgat+/-,54.5,,,,,,,,,
8,Nms-Vgat+/-,85,,,,,,,,,
9,Nms-Vgat+/-,32,,,,,,,,,
1,Nms-Vgat-/-,39.5,,,,,,,,,
2,Nms-Vgat-/-,62.75,,,,,,,,,
3,Nms-Vgat-/-,40.5,,,,,,,,,
4,Nms-Vgat-/-,50,,,,,,,,,
5,Nms-Vgat-/-,83,,,,,,,,,
6,Nms-Vgat-/-,49,,,,,,,,,
7,Nms-Vgat-/-,77.5,,,,,,,,,
8,Nms-Vgat-/-,72.5,,,,,,,,,
9,Nms-Vgat-/-,41.5,,,,,,,,,
10,Nms-Vgat-/-,74.5,,,,,,,,,
11,Nms-Vgat-/-,74.5,,,,,,,,,
