Mouse #,Genotype,FFT Amplitude
1,Vgat +/+,0.0485
2,Vgat +/+,0.0806
3,Vgat +/+,0.153
4,Vgat +/+,0.0975
5,Vgat +/+,0.1244
6,Vgat +/+,0.1127
7,Vgat +/+,0.0379
8,Vgat +/+,0.042
9,Vgat +/+,0.1159
10,Vgat +/+,0.0335
11,Vgat +/+,0.1032
12,Vgat +/+,0.1629
13,Vgat +/+,0.074
1,Vip-Vgat+/-,0.1733
2,Vip-Vgat+/-,0.1415
3,Vip-Vgat+/-,0.0579
4,Vip-Vgat+/-,0.1363
5,Vip-Vgat+/-,0.1256
6,Vip-Vgat+/-,0.1673
7,Vip-Vgat+/-,0.1047
8,Vip-Vgat+/-,0.0798
9,Vip-Vgat+/-,0.0381
10,Vip-Vgat+/-,0.0251
11,Vip-Vgat+/-,0.0472
12,Vip-Vgat+/-,0.0723
13,Vip-Vgat+/-,0.145
14,Vip-Vgat+/-,0.2382
15,Vip-Vgat+/-,0.1078
1,Vip-Vgat-/-,0.1475
2,Vip-Vgat-/-,0.1069
3,Vip-Vgat-/-,0.111
4,Vip-Vgat-/-,0.0962
5,Vip-Vgat-/-,0.1402
6,Vip-Vgat-/-,0.1565
7,Vip-Vgat-/-,0.1129
8,Vip-Vgat-/-,0.0982
9,Vip-Vgat-/-,0.0086
10,Vip-Vgat-/-,0.0849
11,Vip-Vgat-/-,0.1092
