Mouse #,Genotype,Period (h),,,,,,
1,Vgat +/+,23.66666667,,,,,,
2,Vgat +/+,23.75,,,,,,
3,Vgat +/+,23.83333333,,,,,,
4,Vgat +/+,23.66666667,,,,,,
5,Vgat +/+,23.91666667,,,,,,
6,Vgat +/+,24.08333333,,,,,,
7,Vgat +/+,23.91666667,,,,,,
8,Vgat +/+,23.58333333,,,,,,
9,Vgat +/+,23.75,,,,,,
10,Vgat +/+,24,,,,,,
11,Vgat +/+,24,,,,,,
12,Vgat +/+,23.91666667,,,,,,
13,Vgat +/+,23.91666667,,,,,,
1,Vip-Vgat+/-,23.58333333,,,,,,
2,Vip-Vgat+/-,23.75,,,,,,
3,Vip-Vgat+/-,23.75,,,,,,
4,Vip-Vgat+/-,23.91666667,,,,,,
5,Vip-Vgat+/-,23.91666667,,,,,,
6,Vip-Vgat+/-,23.75,,,,,,
7,Vip-Vgat+/-,23.33333333,,,,,,
8,Vip-Vgat+/-,24.16666667,,,,,,
9,Vip-Vgat+/-,24.16666667,,,,,,
10,Vip-Vgat+/-,23.91666667,,,,,,
11,Vip-Vgat+/-,24,,,,,,
12,Vip-Vgat+/-,24.08333333,,,,,,
13,Vip-Vgat+/-,23.83333333,,,,,,
14,Vip-Vgat+/-,23.91666667,,,,,,
15,Vip-Vgat+/-,24,,,,,,
1,Vip-Vgat-/-,23.75,,,,,,
2,Vip-Vgat-/-,23.75,,,,,,
3,Vip-Vgat-/-,23.91666667,,,,,,
4,Vip-Vgat-/-,24,,,,,,
5,Vip-Vgat-/-,23.91666667,,,,,,
6,Vip-Vgat-/-,23.83333333,,,,,,
7,Vip-Vgat-/-,23.91666667,,,,,,
8,Vip-Vgat-/-,24.08333333,,,,,,
9,Vip-Vgat-/-,24.08333333,,,,,,
10,Vip-Vgat-/-,23.91666667,,,,,,
