Mouse #,Genotype,VIP int,,,,,
1,Vgat +/+,2.685349596,,,,,
2,Vgat +/+,2.828497477,,,,,
3,Vgat +/+,2.924997827,,,,,
4,Vgat +/+,3.160340378,,,,,
5,Vgat +/+,2.929400147,,,,,
6,Vgat +/+,2.855854833,,,,,
1,Vip-Vgat+/-,1.912772897,,,,,
2,Vip-Vgat+/-,2.459389806,,,,,
3,Vip-Vgat+/-,2.584623497,,,,,
4,Vip-Vgat+/-,2.5918677,,,,,
5,Vip-Vgat+/-,2.253125475,,,,,
6,Vip-Vgat+/-,2.050383009,,,,,
1,Vip-Vgat-/-,2.399280811,,,,,
2,Vip-Vgat-/-,2.593622584,,,,,
3,Vip-Vgat-/-,2.334357967,,,,,
4,Vip-Vgat-/-,1.921446408,,,,,
5,Vip-Vgat-/-,2.615718212,,,,,
