Mouse #,Genotype,Amplitude (pA),,,,,
1,Vgat +/+,42.89238,,,,,
2,Vgat +/+,41.7925,,,,,
3,Vgat +/+,31.32675,,,,,
4,Vgat +/+,39.57833,,,,,
5,Vgat +/+,37.999,,,,,
6,Vgat +/+,37.09525,,,,,
1,Nms-Vgat +/-,37.59833,,,,,
2,Nms-Vgat +/-,38.82443,,,,,
3,Nms-Vgat +/-,35.206,,,,,
4,Nms-Vgat +/-,31.244,,,,,
5,Nms-Vgat +/-,43.4634,,,,,
6,Nms-Vgat +/-,31.981,,,,,
1,Nms-Vgat -/-,34.43775,,,,,
2,Nms-Vgat -/-,36.372,,,,,
3,Nms-Vgat -/-,51.6818,,,,,
4,Nms-Vgat -/-,33.224,,,,,
5,Nms-Vgat -/-,51.94033,,,,,
6,Nms-Vgat -/-,35.7846,,,,,
