Mouse #,Genotype,VGAT Int,,,,,,,,,,
1,Vgat +/+,2.691484071,,,,,,,,,,
2,Vgat +/+,2.910846272,,,,,,,,,,
3,Vgat +/+,2.482727557,,,,,,,,,,
4,Vgat +/+,2.573231896,,,,,,,,,,
5,Vgat +/+,2.400273857,,,,,,,,,,
6,Vgat +/+,2.737450468,,,,,,,,,,
1,Nms-Vgat +/-,1.786368323,,,,,,,,,,
2,Nms-Vgat +/-,1.575359531,,,,,,,,,,
3,Nms-Vgat +/-,2.057493335,,,,,,,,,,
4,Nms-Vgat +/-,1.810316687,,,,,,,,,,
5,Nms-Vgat +/-,1.949770031,,,,,,,,,,
6,Nms-Vgat +/-,1.989232587,,,,,,,,,,
1,Nms-Vgat -/-,1.329485225,,,,,,,,,,
2,Nms-Vgat -/-,1.215074317,,,,,,,,,,
3,Nms-Vgat -/-,1.504210482,,,,,,,,,,
4,Nms-Vgat -/-,1.75086262,,,,,,,,,,
5,Nms-Vgat -/-,1.633897699,,,,,,,,,,
6,Nms-Vgat -/-,1.55348278,,,,,,,,,,
