Mouse #,Genotype,VGAT Int,,,,,,,,,,
1,Vgat +/+,2.492527782,,,,,,,,,,
2,Vgat +/+,2.846520455,,,,,,,,,,
3,Vgat +/+,2.674943672,,,,,,,,,,
4,Vgat +/+,3.127299193,,,,,,,,,,
5,Vgat +/+,2.723584323,,,,,,,,,,
6,Vgat +/+,2.592185213,,,,,,,,,,
1,Nms-Vgat +/-,1.934685184,,,,,,,,,,
2,Nms-Vgat +/-,1.840224739,,,,,,,,,,
3,Nms-Vgat +/-,2.422419677,,,,,,,,,,
4,Nms-Vgat +/-,2.228882473,,,,,,,,,,
5,Nms-Vgat +/-,2.05111079,,,,,,,,,,
6,Nms-Vgat +/-,2.118661772,,,,,,,,,,
1,Nms-Vgat -/-,1.882354355,,,,,,,,,,
2,Nms-Vgat -/-,1.796955889,,,,,,,,,,
3,Nms-Vgat -/-,2.023120398,,,,,,,,,,
4,Nms-Vgat -/-,2.713329745,,,,,,,,,,
5,Nms-Vgat -/-,2.496530599,,,,,,,,,,
6,Nms-Vgat -/-,1.806350912,,,,,,,,,,
