Mouse #,Genotype,% Act SP Daytime,,,,,,,,,,,
1,Vgat +/+,2.62,,,,,,,,,,,
2,Vgat +/+,5.68,,,,,,,,,,,
3,Vgat +/+,13.62,,,,,,,,,,,
4,Vgat +/+,4.64,,,,,,,,,,,
5,Vgat +/+,1.8,,,,,,,,,,,
6,Vgat +/+,3.38,,,,,,,,,,,
1,Nms-Vgat +/-,17.45,,,,,,,,,,,
2,Nms-Vgat +/-,10.78,,,,,,,,,,,
3,Nms-Vgat +/-,13.77,,,,,,,,,,,
4,Nms-Vgat +/-,2.58,,,,,,,,,,,
5,Nms-Vgat +/-,15.44,,,,,,,,,,,
6,Nms-Vgat +/-,6.67,,,,,,,,,,,
1,Nms-Vgat -/-,17.16,,,,,,,,,,,
2,Nms-Vgat -/-,6.22,,,,,,,,,,,
3,Nms-Vgat -/-,8.67,,,,,,,,,,,
4,Nms-Vgat -/-,21.15,,,,,,,,,,,
5,Nms-Vgat -/-,15.24,,,,,,,,,,,
6,Nms-Vgat -/-,12.09,,,,,,,,,,,
